peakid,mz,mzmin,mzmax,rt,rtmin,rtmax,into,intb,maxo,sn,egauss,mu,sigma,h,f,dppm,scale,scpos,scmin,scmax,lmin,lmax,sample,is_filled,peakgr,peakgrcls,tmp_peakid,tmp_peakgr,new_mz,new_rt,chemid,dbid,dbname,cos
16,279,279,279,2792.459,2772.115,2823.758,12231754.0957576,11691470.2925908,598208,34,NA,NA,NA,NA,649,0,10,187,177,197,70,103,1,0,15,15,208,4,279,2792.459,NA,NA,NA,0.209798539867163
59,301,301,301,2792.459,2742.381,2840.973,2414139.36152381,2294361.56943351,71664,40,NA,NA,NA,NA,718,0,16,187,171,203,59,122,1,0,15,15,11,4,301,2788.547,NA,NA,NA,0.209798539867163
76,205,205,205,2792.459,2761.16,2823.758,1717218.07005,1650760.77714435,67984,92,NA,NA,NA,NA,722,0,10,187,177,197,90,130,1,0,15,15,12,4,205,2789.3295,NA,NA,NA,0.209798539867163
204,580.100036621094,580.100036621094,580.100036621094,2794.024,2764.29,2823.758,338430.823052631,327455.182591203,17008,40,NA,NA,NA,NA,677,0,10,188,178,198,69,107,1,0,15,15,211,4,580.100036621094,2794.024,NA,NA,NA,0.209798539867163
205,338.100006103516,338.100006103516,338.100006103516,2792.459,2745.51,2834.713,334958.829964912,288094.61787408,7985,12,NA,NA,NA,NA,696,0,14,187,173,201,74,131,1,0,15,15,19,4,338.100006103516,2789.3295,NA,NA,NA,0.209798539867163
213,317,317,317,2794.024,2747.075,2825.323,304253.26336,276430.843897314,9241,14,NA,NA,NA,NA,695,0,14,188,174,202,59,109,1,0,15,15,16,4,317,2790.112,NA,NA,NA,0.209798539867163
216,281.100006103516,281.100006103516,281.100006103516,2790.894,2773.68,2822.193,296703.943064518,262847.571432172,14122,12,NA,NA,NA,NA,640,0,10,186,176,196,74,105,1,0,15,15,20,4,281.100006103516,2787.7645,NA,NA,NA,0.209798539867163
229,302,302,302,2794.024,2770.55,2823.758,266218.403294116,252016.669305397,12756,14,NA,NA,NA,NA,667,0,10,188,178,198,67,101,1,0,15,15,18,4,302,2789.3295,NA,NA,NA,0.209798539867163
231,206,206,206,2792.459,2761.16,2823.758,261254.31795,232710.080141096,9312,20,NA,NA,NA,NA,678,0,10,187,177,197,72,112,1,0,15,15,21,4,206,2788.547,NA,NA,NA,0.209798539867163
45,281.200012207031,281.200012207031,281.200012207031,3673.528,3640.664,3711.087,3985959.0145111,3894855.69494474,125792,63,NA,NA,NA,NA,3542,0,10,750,740,760,71,116,1,0,26,26,212,6,281.200012207031,3673.528,NA,NA,NA,0.00612543498181195
125,282.200012207031,282.200012207031,282.200012207031,3675.093,3642.229,3707.957,820067.911619048,741955.559987712,29272,17,NA,NA,NA,NA,3434,0,10,751,741,761,67,109,1,0,26,26,38,6,282.200012207031,3668.833,NA,NA,NA,0.00612543498181195
131,267.100006103516,267.100006103516,267.100006103516,3675.093,3668.833,3700.132,716163.373649999,701206.932123287,59632,29,NA,NA,NA,NA,3357,0,10,751,741,761,78,98,1,0,26,26,214,6,267.100006103516,3675.093,NA,NA,NA,0.00612543498181195
136,338.200012207031,338.200012207031,338.200012207031,3671.963,3651.618,3703.262,691741.645575761,682445.220746826,35888,112,NA,NA,NA,NA,3432,0,10,749,739,759,78,111,1,0,26,26,215,6,338.200012207031,3671.963,NA,NA,NA,0.00612543498181195
145,309.200012207031,309.200012207031,309.200012207031,3673.528,3648.489,3709.522,593923.077641025,567167.174651364,19528,26,NA,NA,NA,NA,3521,0,10,750,740,760,75,114,1,0,26,26,39,6,309.200012207031,3667.2685,NA,NA,NA,0.00612543498181195
240,327.200012207031,327.200012207031,327.200012207031,3671.963,3637.534,3703.262,236407.966476191,209313.881591651,7210,12,NA,NA,NA,NA,3424,0,10,749,739,759,69,111,1,0,26,26,217,6,327.200012207031,3671.963,NA,NA,NA,0.00612543498181195
266,349.200012207031,349.200012207031,349.200012207031,3671.963,3643.794,3703.262,162491.615157896,147178.733783707,7127,14,NA,NA,NA,NA,3345,0,10,749,739,759,70,108,1,0,26,26,218,6,349.200012207031,3671.963,NA,NA,NA,0.00612543498181195
268,291.100006103516,291.100006103516,291.100006103516,3671.963,3610.93,3723.606,158370.812833334,138141.906237655,5755,13,NA,NA,NA,NA,3379,0,18,749,731,767,40,112,1,0,26,26,219,6,291.100006103516,3671.963,NA,NA,NA,0.00612543498181195
330,379.200012207031,379.200012207031,379.200012207031,3673.528,3645.359,3700.132,51937.3235428573,47025.6003227007,2992,11,NA,NA,NA,NA,3362,0,10,750,740,760,67,102,1,0,26,26,220,6,379.200012207031,3673.528,NA,NA,NA,0.00612543498181195
29,447.200012207031,447.200012207031,447.200012207031,3876.972,3839.413,3912.966,5916902.22687233,5841566.63315155,156992,107,NA,NA,NA,NA,4212,0,10,880,870,890,82,129,1,0,20,20,221,64,447.200012207031,3876.972,NA,NA,NA,NA
52,283.200012207031,283.200012207031,283.200012207031,3878.537,3845.673,3911.401,2721790.22019048,2685623.79550685,92824,99,NA,NA,NA,NA,4165,0,10,881,871,891,74,116,1,0,20,20,222,64,283.200012207031,3878.537,NA,NA,NA,NA
69,448.200012207031,448.200012207031,448.200012207031,3876.972,3839.413,3911.401,1869650.42660869,1850376.52927575,53384,133,NA,NA,NA,NA,4231,0,10,880,870,890,84,130,1,0,20,20,223,64,448.200012207031,3876.972,NA,NA,NA,NA
143,284.200012207031,284.200012207031,284.200012207031,3878.537,3847.238,3911.401,608033.627219512,569386.749537588,21032,22,NA,NA,NA,NA,4105,0,10,881,871,891,72,113,1,0,20,20,224,64,284.200012207031,3878.537,NA,NA,NA,NA
155,268.200012207031,268.200012207031,268.200012207031,3878.537,3845.673,3900.446,528107.181514287,510928.064175148,19104,38,NA,NA,NA,NA,4125,0,10,881,871,891,71,106,1,0,20,20,225,64,268.200012207031,3878.537,NA,NA,NA,NA
196,449.200012207031,449.200012207031,449.200012207031,3878.537,3844.108,3914.531,358382.646999999,320391.335740638,9744,11,NA,NA,NA,NA,4170,0,10,881,871,891,68,113,1,0,20,20,226,64,449.200012207031,3878.537,NA,NA,NA,NA
228,301.200012207031,301.200012207031,301.200012207031,3876.972,3851.932,3897.316,269050.436689655,257279.302016061,10923,14,NA,NA,NA,NA,4056,0,10,880,870,890,78,107,1,0,20,20,227,64,301.200012207031,3876.972,NA,NA,NA,NA
55,269.200012207031,269.200012207031,269.200012207031,3880.102,3847.238,3912.966,2586376.45561905,2517050.78015917,92848,51,NA,NA,NA,NA,4111,0,10,882,872,892,78,120,1,0,33,20,228,65,269.200012207031,3880.102,NA,NA,NA,NA
157,469.200012207031,469.200012207031,469.200012207031,3878.537,3836.283,3911.401,519409.670833333,510105.972103881,14230,29,NA,NA,NA,NA,4118,0,10,881,871,891,78,126,1,0,33,20,229,65,469.200012207031,3878.537,NA,NA,NA,NA
166,270.200012207031,270.200012207031,270.200012207031,3881.667,3850.368,3912.966,476312.87685,461426.986699315,19952,39,NA,NA,NA,NA,4112,0,10,883,873,893,68,108,1,0,33,20,230,65,270.200012207031,3881.667,NA,NA,NA,NA
179,329.200012207031,329.200012207031,329.200012207031,3880.102,3850.368,3912.966,414852.5955,403485.75267637,15734,37,NA,NA,NA,NA,4136,0,10,882,872,892,75,115,1,0,33,20,231,65,329.200012207031,3880.102,NA,NA,NA,NA
181,552.299987792969,552.299987792969,552.299987792969,3878.537,3853.497,3884.797,399197.070000002,362826.372187502,27216,11,NA,NA,NA,NA,4066,0,10,881,871,891,71,91,1,0,33,20,232,65,552.299987792969,3878.537,NA,NA,NA,NA
256,553.200012207031,553.200012207031,553.200012207031,3878.537,3848.803,3892.621,194924.373000001,191514.444124425,8841,27,NA,NA,NA,NA,4073,0,10,881,871,891,70,98,1,0,33,20,233,65,553.200012207031,3878.537,NA,NA,NA,NA
296,330.200012207031,330.200012207031,330.200012207031,3880.102,3847.238,3911.401,110463.646780488,104692.535436686,3943,18,NA,NA,NA,NA,4113,0,10,882,872,892,71,112,1,0,33,20,234,65,330.200012207031,3880.102,NA,NA,NA,NA
9,343,343,343,2689.172,2639.094,2725.166,17867176.3077818,16738591.118946,567488,16,NA,NA,NA,NA,471,0,10,121,111,131,45,100,1,0,9,9,23,5,343,2683.695,NA,NA,NA,0.833652015837387
61,430.100006103516,430.100006103516,430.100006103516,2687.607,2642.223,2725.166,2344653.06850944,2278001.49718197,56624,34,NA,NA,NA,NA,492,0,10,120,110,130,75,128,1,0,9,9,236,5,430.100006103516,2687.607,NA,NA,NA,0.833652015837387
110,381,381,381,2687.607,2643.788,2722.036,974761.940320001,859210.502667463,24104,10,NA,NA,NA,NA,487,0,10,120,110,130,63,113,1,0,9,9,27,5,381,2683.695,NA,NA,NA,0.833652015837387
149,431.100006103516,431.100006103516,431.100006103516,2689.172,2648.483,2726.731,565601.58336,516452.106595069,18528,10,NA,NA,NA,NA,467,0,12,121,109,133,58,108,1,0,9,9,238,5,431.100006103516,2689.172,NA,NA,NA,0.833652015837387
221,402.100006103516,402.100006103516,402.100006103516,2689.172,2643.788,2722.036,291271.92016,256332.676794521,6627,13,NA,NA,NA,NA,489,0,10,121,111,131,72,122,1,0,9,9,239,5,402.100006103516,2689.172,NA,NA,NA,0.833652015837387
237,444.100006103516,444.100006103516,444.100006103516,2687.607,2656.308,2718.906,244742.5305,234674.756958904,9612,23,NA,NA,NA,NA,450,0,10,120,110,130,70,110,1,0,9,9,32,5,444.100006103516,2683.695,NA,NA,NA,0.833652015837387
14,536.200012207031,536.200012207031,536.200012207031,3720.476,3687.612,3758.035,13677871.1810222,13340552.1290458,397248,111,NA,NA,NA,NA,3739,0,10,780,770,790,80,125,1,0,13,13,40,7,536.200012207031,3711.0865,NA,NA,NA,0.995471555825953
43,537.200012207031,537.200012207031,537.200012207031,3720.476,3689.177,3756.47,4149450.70011626,3926814.37142368,121936,25,NA,NA,NA,NA,3591,0,10,780,770,790,78,121,1,0,13,13,241,7,537.200012207031,3720.476,NA,NA,NA,0.995471555825953
123,395.200012207031,395.200012207031,395.200012207031,3722.041,3687.612,3758.035,845453.154288886,788241.809217349,24424,30,NA,NA,NA,NA,3626,0,10,781,771,791,75,120,1,0,13,13,242,7,395.200012207031,3722.041,NA,NA,NA,0.995471555825953
124,538.200012207031,538.200012207031,538.200012207031,3718.911,3690.742,3758.035,836450.425046508,754867.466519832,23784,10,NA,NA,NA,NA,3528,0,10,779,769,789,73,116,1,0,13,13,43,7,538.200012207031,3710.304,NA,NA,NA,0.995471555825953
144,571.400024414062,571.400024414062,571.400024414062,3718.911,3704.827,3732.996,604281.387999997,599387.613783863,44616,27,NA,NA,NA,NA,3509,0,12,779,767,791,78,96,1,0,13,13,244,7,571.400024414062,3718.911,NA,NA,NA,0.995471555825953
278,554.299987792969,554.299987792969,554.299987792969,3718.911,3695.437,3732.996,141598.994958334,137236.320226479,9552,26,NA,NA,NA,NA,3530,0,10,779,769,789,70,94,1,0,13,13,245,7,554.299987792969,3718.911,NA,NA,NA,0.995471555825953
68,304.100006103516,304.100006103516,304.100006103516,2928.61,2897.311,2961.474,1957240.67160976,1778380.08146141,75784,39,NA,NA,NA,NA,1194,0,10,274,264,284,70,111,1,0,37,36,81,14,304.100006103516,2927.045,NA,NA,NA,0.963516628710514
79,305.100006103516,305.100006103516,305.100006103516,2930.175,2897.311,2961.474,1660477.40690244,1539984.06472091,48040,41,NA,NA,NA,NA,1424,0,10,275,265,285,113,154,1,0,37,36,80,14,305.100006103516,2927.045,NA,NA,NA,0.963516628710514
139,309.100006103516,309.100006103516,309.100006103516,2928.61,2897.311,2961.474,644842.844853659,582335.69187003,24960,27,NA,NA,NA,NA,1096,0,10,274,264,284,71,112,1,0,37,36,82,14,309.100006103516,2927.045,NA,NA,NA,0.963516628710514
191,512.200012207031,512.200012207031,512.200012207031,2927.045,2898.876,2959.909,367352.932153846,345263.037870389,19304,15,NA,NA,NA,NA,995,0,10,273,263,283,66,105,1,0,37,36,249,14,512.200012207031,2927.045,NA,NA,NA,0.963516628710514
254,524.299987792969,524.299987792969,524.299987792969,2930.175,2897.311,2956.779,197064.432421052,191360.295732516,8522,12,NA,NA,NA,NA,1023,0,10,275,265,285,61,99,1,0,37,36,250,14,524.299987792969,2930.175,NA,NA,NA,0.963516628710514
277,513.299987792969,513.299987792969,513.299987792969,2930.175,2898.876,2959.909,144599.696589743,139469.239387924,7201,24,NA,NA,NA,NA,1030,0,10,275,265,285,64,103,1,0,37,36,251,14,513.299987792969,2930.175,NA,NA,NA,0.963516628710514
17,365,365,365,2686.042,2640.659,2726.731,12050782.6605091,11732335.5811139,273856,37,NA,NA,NA,NA,539,0,10,119,109,129,77,132,1,0,16,16,252,66,365,2686.042,NA,NA,NA,NA
41,344,344,344,2686.042,2650.048,2720.471,4227120.23057779,3989823.33997048,128424,16,NA,NA,NA,NA,456,0,10,119,109,129,68,113,1,0,16,16,253,66,344,2686.042,NA,NA,NA,NA
53,366,366,366,2686.042,2642.223,2726.731,2674116.3782963,2538712.1168686,59544,14,NA,NA,NA,NA,510,0,10,119,109,129,77,131,1,0,16,16,254,66,366,2686.042,NA,NA,NA,NA
119,388.100006103516,388.100006103516,388.100006103516,2684.477,2643.788,2740.816,872913.96696774,793580.315925295,15687,13,NA,NA,NA,NA,461,0,16,118,102,134,73,135,1,0,16,16,255,66,388.100006103516,2684.477,NA,NA,NA,NA
162,416.100006103516,416.100006103516,416.100006103516,2686.042,2642.223,2729.861,485270.385571428,460725.742968688,10146,16,NA,NA,NA,NA,500,0,10,119,109,129,75,131,1,0,16,16,256,66,416.100006103516,2686.042,NA,NA,NA,NA
84,572.200012207031,572.200012207031,572.200012207031,3664.138,3634.404,3693.872,1417546.54073684,1368800.18809661,69776,50,NA,NA,NA,NA,3416,0,10,744,734,754,73,111,1,0,41,40,257,67,572.200012207031,3664.138,NA,NA,NA,NA
140,492.200012207031,492.200012207031,492.200012207031,3664.138,3631.274,3698.567,635499.442465117,598691.32816987,23496,26,NA,NA,NA,NA,3319,0,10,744,734,754,72,115,1,0,41,40,258,67,492.200012207031,3664.138,NA,NA,NA,NA
165,552.200012207031,552.200012207031,552.200012207031,3662.573,3635.969,3689.177,478009.717411765,414988.674191426,22528,11,NA,NA,NA,NA,3298,0,10,743,733,753,78,112,1,0,41,40,259,67,552.200012207031,3662.573,NA,NA,NA,NA
201,573.200012207031,573.200012207031,573.200012207031,3664.138,3631.274,3700.132,351823.691181819,317625.682760275,22968,13,NA,NA,NA,NA,3261,0,12,744,732,756,68,112,1,0,41,40,260,67,573.200012207031,3664.138,NA,NA,NA,NA
323,513.200012207031,513.200012207031,513.200012207031,3664.138,3612.495,3717.347,58893.9599402987,54866.1185710161,3401,15,NA,NA,NA,NA,3339,0,18,744,726,762,51,118,1,0,41,40,261,67,513.200012207031,3664.138,NA,NA,NA,NA
1,508.200012207031,508.200012207031,508.200012207031,3532.682,3498.253,3571.806,56426906.9603403,55783901.6960302,1336832,189,NA,NA,NA,NA,3887,0,10,660,650,670,95,142,1,0,1,1,1,1,508.200012207023,3524.075,1,1,chem1,0.999741337381877
12,509.200012207031,509.200012207031,509.200012207031,3531.117,3496.688,3571.806,15992725.48725,15615808.2632377,374592,91,NA,NA,NA,NA,3373,0,10,659,649,669,82,130,1,0,1,1,2,1,509.200012207023,3524.075,1,1,chem1,0.999741337381877
42,367.200012207031,367.200012207031,367.200012207031,3531.117,3496.688,3573.371,4221067.37865306,3658633.81424895,94048,25,NA,NA,NA,NA,3079,0,10,659,649,669,72,121,1,0,1,1,3,1,367.200012207023,3524.075,1,1,chem1,0.999741337381877
95,368.200012207031,368.200012207031,368.200012207031,3532.682,3493.558,3573.371,1204062.04792157,1183163.41256396,25400,31,NA,NA,NA,NA,3256,0,10,660,650,670,82,133,1,0,1,1,265,1,368.200012207031,3532.682,1,1,chem1,0.999741337381877
2,496.200012207031,496.200012207031,496.200012207031,3407.486,3374.622,3443.48,34418258.1520001,33952491.3423145,1064960,190,NA,NA,NA,NA,3009,0,10,580,570,590,127,171,1,0,2,2,266,68,496.200012207031,3407.486,NA,NA,NA,NA
20,497.200012207031,497.200012207031,497.200012207031,3407.486,3374.622,3443.48,9458350.52954548,9324792.64706966,285952,135,NA,NA,NA,NA,2604,0,10,580,570,590,128,172,1,0,2,2,267,68,497.200012207031,3407.486,NA,NA,NA,NA
75,498.200012207031,498.200012207031,498.200012207031,3407.486,3374.622,3441.915,1724505.1913721,1596130.71533223,52640,19,NA,NA,NA,NA,2436,0,10,580,570,590,71,114,1,0,2,2,268,68,498.200012207031,3407.486,NA,NA,NA,NA
102,518.200012207031,518.200012207031,518.200012207031,3409.051,3374.622,3445.045,1085043.15497778,1006933.95079879,30624,16,NA,NA,NA,NA,2420,0,10,581,571,591,72,117,1,0,2,2,269,68,518.200012207031,3409.051,NA,NA,NA,NA
3,524.200012207031,524.200012207031,524.200012207031,3693.872,3659.443,3734.561,32311995.1803333,31172950.1340426,821056,40,NA,NA,NA,NA,3674,0,10,763,753,773,75,123,1,0,3,3,270,42,524.200012207031,3693.872,NA,NA,NA,0.153648253771328
19,525.200012207031,525.200012207031,525.200012207031,3693.872,3659.443,3734.561,9634207.44637499,9495610.87757362,238400,123,NA,NA,NA,NA,3732,0,10,763,753,773,127,175,1,0,3,3,271,42,525.200012207031,3693.872,NA,NA,NA,0.153648253771328
33,466.200012207031,466.200012207031,466.200012207031,3695.437,3661.008,3732.996,5035347.76591306,4856914.10302444,135168,49,NA,NA,NA,NA,3575,0,10,764,754,774,74,120,1,0,3,3,164,42,466.200012207031,3686.83,NA,NA,NA,0.153648253771328
